Date/Time,Word Count,en,fr-FR
2024.01.26-14.21.26,14,14,0
2024.01.26-14.23.28,14,14,8
2024.01.26-14.32.39,22,22,8
2024.01.26-14.34.21,22,22,16
2024.01.26-14.36.01,23,23,16
2024.01.26-16.51.47,42,42,14
2024.01.26-17.42.11,42,42,38
2024.01.26-18.31.56,42,42,40
2024.01.26-23.20.39,72,72,40
2024.01.26-23.23.05,72,72,70
2024.01.27-17.02.11,141,141,70
2024.01.27-17.07.09,141,141,139
2024.01.27-20.29.15,151,151,139
2024.01.27-20.32.14,151,151,149
2024.01.27-21.15.30,185,185,149
2024.01.27-21.18.24,185,185,183
2024.01.27-21.23.43,190,190,171
2024.01.27-21.24.59,190,190,190
